Introduction to Linear Algebra,Engineering Maths/Natural Sciences,Introduction to Data Science,Several Variable Calculus and Differential Equations,Accelerated Algebra and Calculus for Direct Entry,Accelerated Proofs and Problem Solving,Facets of Mathematics,Probability,Honours Differential Equations,Honours Differential Equations,Honours Analysis,Honours Analysis,Stochastic Modelling,Stochastic Modelling P,Geometry,Numerical Linear Algebra,Numerical Linear Algebra,Statistical Methodology,Entrepreneurship in the Mathematical Sciences,Applied Stochastic Differential Equations,Applied Stochastic Differential Equations,Mathematical Education,Introduction to Partial Differential Equations,,Group Theory,,Bayesian Theory,,General Topology,Fundamentals of Operational Research,Advanced Methods of Applied Mathematics,Linear Analysis,Essentials in Analysis and Probability,Topics in Noncommutative Algebra,Fundamentals of Optimization,,"Probability, Measure & Finance",Mathematical Biology,Statistical Programming,Python Programming,Research Skills for CAM,MMCS,Stochastic Analysis in Finance,Discrete Time Finance,"Finance, Risk & Uncertainty",Biostatistics,Combinatorics and Graph Theory,Theory of Statistical Inference,Industrial Mathematics,Analytic Number Theory,Quantum Information,,Commutative Algebra,Differential Geometry,Introduction to Lie Groups,,Theory of Elliptic Partial Differential Equations,Fundamentals of Algebra and Calculus,Generalised Regression Models,Category Theory,MATH07004,Introductory Probability and Statistics,Theory of Elliptic Partial Differential Equations
MATH08057,MATH08074 / MATH08072,MATH08077,MATH08063,MATH08062,MATH08071,MATH08068,MATH08066,MATH10066,MATH10066_S,MATH10068,MATH10068_S,MATH10007,MATH11029,MATH10074,MATH10098,MATH10098_Lab,MATH10095,MATH10099,MATH10053,MATH10053_LAB,MATH10010,MATH10100,MATH10088,MATH10079,MATH10102,MATH11177,MATH11179,MATH10076,MATH10065,MATH10086,MATH10082,MATH10047,MATH11143,MATH11111,MATH11136,MATH10024,MATH10013,MATH11176,MATH11199 ,MATH11197,MATH11007,MATH11154,MATH11153,MATH11088,MATH11230,MATH10072,MATH10028,MATH11231,MATH11226,MATH11169,MATH11236,MATH10017,MATH11235,MATH11053,MATH11144,MATH11184,MATH07003,MATH11187,MATH11237,Introductory Mathematics with Applications,MATH11203,MATH11184
Tuesday 09:00 - 10:30,Wednesday 09:00 - 10:00,Friday 09:00 - 10:30,Thursday 11:10 - 12:00,Friday 14:10 - 16:00,Tuesday 11:00 - 12:00,Tuesday 09:00 - 10:30,Thursday 17:00 - 18:00,Monday 9:00 - 9:50,Tuesday 12:10 - 14:00,Thursday 11:00 - 12:00,Tuesday 14:00 - 16:00,Friday 13:00 - 14:00,Wednesday 13:10 - 15:00,Tuesday 13:00 - 14:00,Wednesday 10:00 - 11:00,Wednesday 9:00 - 10.50,Monday 13:10 - 14:00,Friday 13:00 - 15:00,Thursday 09:00 - 9:50,Friday 15:00 - 16:00,Wednesday 14:00 - 15:00,Wednesday 11:00 - 12:00,Thursday 09:00 - 10:00,Monday 11:10 - 12:00,Thursday 14:00 - 16:00,Tuesday 12:10 - 13:00,Friday 14:10 - 15:00,Thursday 16:00 - 17:00,Tuesday 13:00 - 14:00,Friday 14:00 - 15:00,Tuesday 13:00 - 14:00,Tuesday 13:00 - 14:00,Monday 11:10 - 12:00,Friday 10:10 - 10:50,Friday 09:00 - 10: 00,Thursday 12:10 - 13:00,Thursday 12:00 - 13:00,Tuesday 14:10 - 16:00,Thursday 13:10 - 15:00,Friday 16:10 - 18:00,Friday 13:10 - 14:00,Wednesday 11:10 - 12:00,Monday 15:10 - 16:00,Monday 11.10 - 13:00,Wednesday 09:00 - 09:50,Tuesday 13:00 - 14:00,Friday 16:00 - 17:00,Tuesday 15:00 - 17:00,Thursday 15:10 - 16:00,Friday 14:00 - 15:00,Tuesday 10:00 - 10:50,Tuesday 16:10 - 17:00,Thursday 12:10 - 13:00,Friday 13:00 - 14:00,Monday 16:10 - 17:00,Thursday 15:00 - 16:00,Friday 10:00 - 11:00,Tuesday 16:10 - 17:00,Tuesday 16:10 - 17:00,,Wednesday 11:00 - 12:00,Thursday 15:10 - 16:00
Tuesday 10:30 - 12:00,Wednesday 10:00 - 11:00,Friday 10:30 - 12:00,Thursday 12:10 - 13:00,,,Tuesday 10:30 - 12:00,Friday 09:00 - 10:00,Monday 12:10 - 13:00,Tuesday 14:00 - 16:00,Thursday 12:00 - 13:00,Wednesday 12:00 - 14:00,Friday 14:00 - 15:00,Thursday 09:00 - 10:50,,Wednesday 11:00 - 12:00,Wednesday 11:10 - 13:00,Friday 11:00 - 12:00,,,,Wednesday 15:00 - 16:00,,Thursday 10:30 - 11:30,,,Tuesday 13:10 - 14:00,,,Tuesday 14:00 - 15:00,,,,,Friday 11:10 - 12:00,Friday 14:00- 15:00,Thursday 16:10 - 17:00,,,Friday 10:00 - 12:00,,Friday 14:10 - 15:00,Wednesday 12:10 - 13:00,Thursday 17:10 - 18:00,,,,,,,,,,,,,,Friday 11:00 - 12:00,,,,,
Tuesday 12:10 - 13:30,Wednesday 11:00 - 12:00,Friday 12:10 - 13:30,Thursday 16:10 - 17:00,,,Thursday 9:00 - 10.50,Friday 10:00 - 11:00,Monday 13:10 - 14:00,Wednesday 11.10 - 13:00,Thursday 13:10 - 14:00,,,,,,,Friday 12:00 - 13:00,,,,Thursday 14:00 - 15:00,,,,,,,,Tuesday 15:00 - 16:00,,,,,Friday 12:10 - 13:00,,,,,Friday 13:10 - 15:00,,,,,,,,,,,,,,,,,,Friday 11:00 - 12:00,,,,,
Tuesday 13:30 - 15:00,Wednesday 12:00 - 13:00,Friday 13:30 - 15:00,,,,Friday 9:00 - 10:50,Friday 13:00 - 14:00,,,,,,,,,,Friday 13:00 - 14:00,,,,Thursday 15:00 - 16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday 12:00 - 13:00,,,,,
Tuesday 16:10 - 17:30,Wednesday 13:00 - 14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,