Course Name,Code,Acronym,Course Organiser,Course Secretary,Semester,Credits,Course info notes,Live this year? 2022/23,2023/24,(Predicted) Student Numbers,Group Size (max),Number of Tutorial Groups,Tutor Hrs p/w,No of weeks,No ST Required,Super Tutor contact hrs for 1 session,Super Tutor Multiplier,No T Required,Tutor contact hrs for 1 session,Tutor marking multiplier,Tutor Marking Hours,Hours Required,NYT,Frequency
Accelerated Algebra and Calculus for Direct Entry,MATH08062,AAC,NIKOLAOS BOURNAVEAS,mdelane1,Semester 1,20,,y,,60,12,5,2,10,2,20,1,5,20,2,20,240,2,Weekly
Accelerated Proofs and Problem Solving,MATH08071,APPS,Milena Hering,mdelane1,Semester 1,10,,y,,80,12,7,1,10,2,10,1,7,10,2,10,153,2,Weekly
Advanced Methods of Applied Mathematics,MATH10086,AMAM,Adri Olde Daalhuis,alisonf,Semester 2,20,,y,,90,15,6,1,10,0,10,1,6,10,2.5,15,150,4,Weekly
Algebraic Geometry,MATH11120,AG,IVAN CHELTSOV,alisonf,Semester 2,10,,y,,38,15,3,1,5,0,5,1,3,5,3,10,38,5,Even
Algebraic Topology,MATH10077,ATop,Jonathan Pridham,alisonf,Semester 2,10,,y,,30,15,2,1,5,0,5,1,2,5,3,10,30,4,odd
Algebraic Geometry - SMSTC,MATH11107,P_ATOP,SMSTC,lcaudrey,Semester 2,0,,Y,,,12,0,1,10,0,0,1,1,10,1,0,10,,Weekly
Algebras and Representation Theory,MATH11108,P_ART,SMSTC,lcaudrey,Semester 2,0,,Y,,,12,0,1,10,0,0,1,1,10,1,0,10,,Weekly
Analytic Number Theory,MATH11226,ANT,JIM WRIGHT,mdelane1,Semester 1,,,,,50,15,3,1,5,0,5,1,3,5,2,5,33,5,Even
Applied Dynamical Systems,MATH11140,ADS,Jacob Page,alisonf,Semester 2,10,,y,,59,15,4,1,5,0,5,1,4,5,3,10,59,5,Even
Applied Statistics,MATH10096,Asta,Vanda Fernandes Inacio De Carvalho,alisonf,Semester 2,10,NOT RUNNING,N,Y,131,15,9,1,5,2,5,1,9,5,3,10,141,,Even
Applied Stochastic Differential Equations,MATH10053,ASDE,Kostas Zygalakis,alisonf,Semester 1,10,,y,,70,15,5,1,6,0,6,1,5,6,2,6,56,4,Odd
Applied Stochastic Differential Equations - Lab,MATH10053_Lab,ASDE_Lab,Kostas Zygalakis,alisonf,Semester 1,10,,y,,70,15,5,1,3,0,5,1,5,5,2,5,33,4,"Wk 3, 6, 9"
Asymptotic and Analytical Methods - SMSTC,MATH11105,P_AAM,SMSTC,lcaudrey,Semester 1,0,,Y,,,12,0,1,10,0,0,1,1,10,1,0,10,,Weekly
Axiomatic Set Theory,MATH11236,AxST ,Antony Maciocia,mdelane1,Semester 1,10,,,,30,15,2,1,5,,5,1,,5,2,5,,5,Even
Bayesian Data Analysis,MATH11175,BDAn,DANIEL PAULIN,gaitchi2,Semester 2,10,,y,,128,15,9,2,5,0,10,1,9,10,2,10,171,P,Even
Bayesian Theory,MATH11177,BTh,Ken Newman,gaitchi2,Semester 1,10,,y,,165,15,11,1,5,0,5,1,11,5,3,10,165,P,odd
Biostatistics,MATH11230,BioSt,Vanda Fernandes Inacio De Carvalho,gaitchi2,Semester 2,10,,,,50,15,3,1,5,0,5,1,3,5,3,10,,P,Odd
Calculus and its Applications,MATH08058,CAP,NIKOLA POPOVIC,ldurie,Semester 2,20,,y,,650,12,54,1.5,10,2,15,1,54,15,2,15,1655,1,Weekly
Combinatorics and Graph Theory,MATH10072,CGT,HARRY BRADEN,gmazelyt,Semester 1,10,,y,,125,15,8,1,6,0,6,1,8,6,3,12,150,3,Odd
Commutative Algebra,MATH10017,CoA,David Quinn,alisonf,Semester 1,10,,y,,38,12,3,1,5,2,5,1,3,5,3,10,58,4,odd
Computing and Numerics,MATH08065,CNu,James Maddison,mdelane1,Semester 2,10,,y,,270,12,23,2,10,2,20,1,23,20,2,20,940,2,Weekly
Continuum Mechanics,MATH00001,P_CMech,SMSTC,lcaudrey,Semester 1,0,"Typically Find Tutors for Basic Algebra 1 & 2, Probability 1 & 2 and Geometry & Topology 1 & 2",N,,,12,0,1,10,0,0,1,1,10,1,0,10,,Weekly
Credit Scoring,MATH11148,CSc,Joerg Kalcsics,gaitchi2,Semester 2,10,,y,,155,15,10,1,5,0,5,1,10,5,3,10,155,P,"Wk 3,4,5,6"
Data Assimilation,MATH11206,Data-A,Michal Branicki,mdelane1,Semester 2,10,previously MATH11170 Mathematics of Data Assimiliation,Y,Y,20,15,1,1,5,0,5,1,1,5,3,10,20,5,Even
Differentiable Manifolds,MATH10088,DMan,José Figueroa-O'Farrill,alisonf,Semester 1,10,,y,,,15,0,1,5,0,5,1,0,5,2,5,0,4,Odd
Differential Geometry,MATH11235,DG,José Figueroa-O'Farrill,mdelane1,Semester 1 ,10,Replacing Differential Manfolds,,,45,15,3,1,5,,5,1,,5,3,10,,5,odd
Discrete-Time Finance,MATH11153,DTF,Chak Hei Lo,gaitchi2,Semester 1,10,new CO for 2019-20 (prev Xiling Zhang),y,,80,15,5,1,5,0,5,1,5,5,3,10,80,P,Even
Dynamical Systems and Conservation Laws,MATH11104,P_DSCL,SMSTC,lcaudrey,Semester 1,0,"Typically Find Tutors for Basic Algebra 1 & 2, Probability 1 & 2 and Geometry & Topology 1 & 2",Y,,,12,0,1,10,0,0,1,1,10,1,0,10,,Weekly
Elliptic and Parabolic PDEs,MATH11106,P_EPPDE,SMSTC,lcaudrey,Semester 2,0,,Y,,,12,0,1,10,0,0,1,1,10,1,0,10,,Weekly
Engineering Mathematics 1a / Mathematics for the Natural Sciences 1a,MATH08074_MATH08072,EM1a / MNS1a,David Quinn,franr,Semester 1,20,,y,,570,12,48,1,10,12,10,1,48,10,2,10,1070,1,Weekly
Engineering Mathematics 1b / Mathematics for the Natural Sciences 1b,MATH08075_MATH08073,EM1b / MNS1b,David Quinn,franr,Semester 2,20,,y,,600,12,50,1,10,12,10,1,50,10,2,10,1120,1,Weekly
Entrepreneurship in the Mathematical Sciences,MATH10099,EMS,JOHN PEARSON,alisonf,Semester 1,10,,y,,60,15,4,2,10,0,20,1,4,20,2,20,160,4,Weekly
Essentials in Analysis and Probability,MATH10047,EAP,ISTVAN GYONGY,alisonf,Semester 1,10,,y,,37,15,2,1,5,0,5,1,2,5,2,5,25,4,Even
Facets of Mathematics,MATH08068,FoM,IVAN CHELTSOV,mdelane1,Semester 1,10,,y,,185,12,15,1.5,10,2,15,1,15,15,2.5,22.5,608,2,Weekly
Finance Base Semester 2,MScFinS2,MscFin_S2,,gaitchi2,Semester 2,0,,y,,,12,0,1,5,2,5,1,0,5,2,5,10,,Weekly
"Finance, Risk and Uncertainty",MATH11088,FRU,SOTIRIOS SABANIS,gaitchi2,Semester 1,10,,y,,70,15,5,1,6,0,6,1,5,6,2,6,56,P,"Wk 3-6, 8-10"
Financial Mathematics,MATH10003,FiM,Chak Hei Lo,gmazelyt,Semester 2,10,,y,,225,15,15,1,5,0,5,1,15,5,3,10,225,3,Odd
Financial Risk Theory,MATH11132,FRT,SOTIRIOS SABANIS,gaitchi2,Semester 2,10,,y,,10,15,1,1,5,0,5,1,1,5,2,5,7,P,Wk 6 - 10
Foundations of Probability,MATH00000       ,P_FP,SMSTC,lcaudrey,Semester 1,0,,,,,,#DIV/0!,1,10,0,0,1,1,10,1,0,10,,Weekly
Fourier Analysis,MATH10051,FAn,A CARBERY,alisonf,Semester 2,10,,y,,30,15,2,1,5,0,5,1,2,5,3,10,30,4,Even
Functional Analysis,MATH11135,FunAn,Silouanos Brazitikos,mdelane1,Semester 2,10,Postdoc,y,?,50,15,3,1,5,0,5,1,3,5,3,10,50,5,Odd
Functional Analysis SMSTC,MATH11126,P_FAna,SMSTC,lcaudrey,Semester 2,0,"Typically Find Tutors for Basic Algebra 1 & 2, Probability 1 & 2 and Geometry & Topology 1 & 2",N,,,15,0,1,10,0,0,1,1,10,1,0,10,,Weekly
Fundamentals of Algebra and Calculus,MATH07003,FAC,George Kinnear,franr,Semester 1,20,,y,,250,15,17,1,5,2,5,1,17,5,2,5,177,1,Weekly
Fundamentals of Operational Research,MATH10065,FuOR,ANDREAS GROTHEY,alisonf,Semester 1,10,,y,,300,15,20,1,5,0,5,1,20,5,3,10,300,4,Even
Fundamentals of Optimization,MATH11111,FuO,JACEK GONDZIO,gaitchi2,Semester 1,10,,y,,180,15,12,1,5,0,5,1,12,5,3,10,180,P,Odd
Fundamentals of Pure Mathematics,MATH08064,FPM,NIKOLAOS BOURNAVEAS,mdelane1,Semester 2,20,,y,,320,12,27,1,10,2,10,1,27,10,2,10,553,2,Weekly
Further Complex Variables,MATH11233,FCV,JIM WRIGHT,mdelane1,Semester 2,10,Possibly alternating with  Functional Analysis wef 2023/24,,?,,15,0,1,5,,5,1,0,5,2,5,,5,odd
Galois Theory,MATH10080,GaTh,JON PRIDHAM,alisonf,Semester 2,10,,y,,50,15,3,1,5,0,5,1,3,5,3,10,50,4,Odd
General Topology,MATH10076,GTop,Clark Barwick,alisonf,Semester 1,10,,y,,75,15,5,1,5,0,5,1,5,5,2,5,50,4,Even
Generalised Regression Models,MATH11187,GRM,BRUCE WORTON,gaitchi2,Semester 1,10,,y,,140,15,9,1,5,0,5,1,9,5,3,10,140,P,Odd
Geometry,MATH10074,Geom,Johan Martens,gmazelyt,Semester 1,10,,y,,135,15,9,1,5,0,5,1,9,5,3,10,135,3,Even
Geometry of General Relativity,MATH11138,GGR,José Figueroa-O'Farrill,mdelane1,Semester 2,10,,y,,30,15,2,1,5,0,5,1,2,5,3,10,30,5,Odd
Group Theory,MATH10079,GrTh,SUSAN SIERRA,alisonf,Semester 1,10,,y,,70,15,5,1,5,0,5,1,5,5,2,5,47,4,odd
"Groups, Rings and Modules - SMSTC",MATH11100,P_GRM,SMSTC,lcaudrey,Semester 1,0,"Typically Find Tutors for Basic Algebra 1 & 2, Probability 1 & 2 and Geometry & Topology 1 & 2",N,,,15,0,1,10,0,0,1,1,10,1,0,10,,Weekly
Honours Algebra,MATH10069,HAlg,IAIN GORDON,gmazelyt,Semester 2,20,,y,,270,15,18,1,10,0,10,1,18,10,2,10,360,3,Weekly
Honours Algebra - Skills,MATH10069_S,Halg-Sk,George Kinnear,gmazelyt,Semester 2,20,was Iain Gordon,y,,270,15,18,2,5,0,10,1,18,10,2.5,15,450,3,odd
Honours Analysis,MATH10068,HAna,MARTIN DINDOS,gmazelyt,Semester 1,20,,y,,240,15,16,1,10,0,10,1,16,10,2,10,320,3,Weekly
Honours Analysis - Skills,MATH10068_S,HAna-Sk,Richard Gratwick,gmazelyt,Semester 1,20,was Martin Dindos,y,,240,15,16,2,5,0,10,1,16,10,2.5,15,400,3,Odd
Honours Complex Variables,MATH10067,HCoV,Richard Gratwick,gmazelyt,Semester 2,20,,y,,390,15,26,1,10,0,10,1,26,10,2,10,520,3,Weekly
Honours Complex Variables - Skills,MATH10067_S,HCoV-Sk,Adri Olde Daalhuis,gmazelyt,Semester 2,20,was Richard Gratwick,y,,390,15,26,2,5,0,10,1,26,10,2.5,15,650,3,Even
Honours Differential Equations,MATH10066,HDEq,JACQUES VANNESTE,gmazelyt,Semester 1,20,,y,,395,15,26,1,10,0,10,1,26,10,2,10,527,3,Weekly
Honours Differential Equations - Skills,MATH10066_S,HDEq-Sk,George Kinnear,gmazelyt,Semester 1,20,was Jacques Vanneste,y,,395,15,26,2,5,2,10,1,26,10,2.5,15,678,3,Even
Incomplete Data Analysis,MATH11185,IDAn,Vanda Fernandes Inacio De Carvalho,gaitchi2,Semester 2,10,,y,,185,15,12,1,5,0,5,1,12,5,3,10,185,P,Even
Industrial Mathematics,MATH11231,IndM,Ben Goddard,gaitchi2,Semester 1,10,,,,35,15,,2,10,0,20,1,,20,2,20,,P,Weekly
Integer and Combinatorial Optimization,MATH11192,ICO,Sergio Garcia Quiles,gaitchi2,Semester 2,10,,y,,75,15,5,1,5,0,5,1,5,5,3,10,75,P,Even
"Interactions in Algebra, Geometry, and Topology",MATH11145,IAGT,IVAN CHELTSOV,mdelane1,Semester 2,10,Running,N,Y,45,15,3,1,5,2,5,1,3,5,2,5,40,5,Odd
Introduction to Data Science,MATH08077,Data ,MINE CETINKAYA-RUNDEL,franr,Semester 1,20,,y,,180,12,15,1.5,10,2,15,1,15,15,2.5,22.5,593,1,Weekly
Introduction to Lie Groups,MATH11053,ILG,Antony Maciocia,mdelane1,Semester 1,10,,,,20,15,1,1,5,,5,1,1,5,3,10,,5,Even
Introduction to Linear Algebra,MATH08057,ILA,Christopher Sangwin,ldurie,Semester 1,20,,y,,650,12,54,1.5,10,12,15,1,54,15,2,15,1805,1,Weekly
Introduction to Number Theory,MATH10071,INT,AGATA SMOKTUNOWICZ,gmazelyt,Semester 2,10,,y,,195,15,13,1,5,0,5,1,13,5,3,10,195,3,odd
Introduction to Partial Differential Equations,MATH10100,PDE,ARAM KARAKHANYAN,alisonf,Semester 1,10,,y,,45,15,3,1,5,0,5,1,3,5,3,10,45,4,Even
Introductory Mathematics with Applications,MATH07004,IMA,,franr,Semester 1,10,,,,50,15,,,,,,1,,,,0,0,1,Weekly
Introductory Probability and Statistics,MATH11203,IProba,Mans Thulin,gaitchi2,Semester 1,10,,y,,25,15,2,1,5,0,5,1,2,5,2,5,17,P,Weekly
Large Scale Optimization for Data Science,MATH11147,ODS,ALEMSEGED WELDEYESUS,gaitchi2,Semester 2,10,,y,,25,15,2,1,5,0,5,1,2,5,2,5,17,P,Odd
Large Scale Optimization for Data Science - Computer Lab,MATH11147_CL,ODS,ALEMSEGED WELDEYESUS,gaitchi2,Semester 2,10,,y,,25,15,2,2,2,0,4,1,2,4,2,4,13,P,Week 4 & 8
Linear Analysis,MATH10082,LAn,JIM WRIGHT,alisonf,Semester 1,10,,y,,35,15,2,1,5,0,5,1,2,5,3,10,35,4,Odd
"Linear Programming, Modelling and Solution",MATH10073,LPMS,JULIAN HALL,gmazelyt,Semester 2,10,,y,,130,15,9,1,5,0,5,1,9,5,2,5,87,3,Odd
"Linear Programming, Modelling and Solution - Computer Lab",MATH10073_CL,LPMS,JULIAN HALL,gmazelyt,Semester 2,10,,y,,130,15,9,2,5,0,10,1,9,10,2,10,173,3,Even
Machine Learning in Python,MATH11205,MlPy,Sara Wade,gaitchi2,Semester 2,10,,y,,165,15,11,1,10,0,10,1,11,10,2,10,220,P,Weekly
Manifolds,MATH11103,P_Man,SMSTC,lcaudrey,Semester 2,0,"Typically Find Tutors for Basic Algebra 1 & 2, Probability 1 & 2 and Geometry & Topology 1 & 2",N,,,15,0,1,10,0,0,1,1,10,1,0,10,,Weekly
Mathematical Biology,MATH10013,MBi,TOM MACKAY,alisonf,Semester 1,10,,y,,85,15,6,1,5,0,5,1,6,5,3,10,85,4,Even
